"","FIPS","county","total_trips","trips_to_rainier","avg_gas_price","population_estimate","new_cases","parks_percent_change_from_baseline","PM25_AQI","vaccinations","voted_rep","median_hhi_2019"
"1",41001,"Baker County",1475884,3382,3.604,"16,019",67,NA,15.6,9521,1,48530
"2",41003,"Benton County",8830922,32173,3.604,"91,107",89,56.8125,13.1833333333333,55928,0,69148
"3",41005,"Clackamas County",40829676,275372,3.604,"410,463",731,100.966666666667,15.5666666666667,216444,0,80539
"4",41007,"Clatsop County",4198924,24831,3.604,"39,102",63,169.769230769231,NA,20042,0,59339
"5",41009,"Columbia County",4557660,42439,3.604,"51,375",114,39,15.8333333333333,23871,1,72285
"6",41011,"Coos County",6077451,4945,3.604,"63,686",42,135.041666666667,16.7916666666667,28144,1,49504
"7",41013,"Crook County",2370474,2552,3.604,"23,011",102,NA,9.33333333333333,9363,1,58739
"8",41015,"Curry County",2484118,3352,3.604,"22,650",76,92.7777777777778,NA,9780,1,51267
"9",41017,"Deschutes County",19809411,15597,3.604,"186,251",434,126.1,16.0175438596491,104528,0,71880
"10",41019,"Douglas County",10425268,20853,3.604,"109,114",406,119.633333333333,13.5666666666667,44976,1,48940
"11",41021,"Gilliam County",126086,1684,3.604,"1,878",17,NA,NA,651,1,61205
"12",41023,"Grant County",810523,684,3.604,"7,189",23,NA,12.6444444444444,2633,1,49792
"13",41025,"Harney County",645841,3198,3.604,"7,267",55,NA,12.5,2478,1,39874
"14",41027,"Hood River County",2378733,17416,3.604,"23,209",24,43,NA,14731,0,68835
"15",41029,"Jackson County",22933549,63985,3.604,"216,574",390,96.4,16.1176470588235,93865,1,56367
"16",41031,"Jefferson County",2469185,27841,3.604,"23,607",80,NA,15.7166666666667,11212,1,52543
"17",41033,"Josephine County",8538477,25602,3.604,"86,251",181,126.066666666667,11.8823529411765,32618,1,47533
"18",41035,"Klamath County",7504209,18337,3.604,"66,921",113,NA,13.1333333333333,25516,1,53030
"19",41037,"Lake County",791412,1297,3.604,"7,837",8,NA,14.2666666666667,2401,1,47867
"20",41039,"Lane County",36658857,36199,3.604,"373,340",528,108.3,18.2388888888889,202776,0,57212
"21",41041,"Lincoln County",5156770,1694,3.604,"48,547",56,161.633333333333,NA,28008,0,52276
"22",41043,"Linn County",13151048,149011,3.604,"125,048",383,118.066666666667,15.3707865168539,54121,1,61084
"23",41045,"Malheur County",3056901,4703,3.604,"30,412",62,NA,NA,9618,1,42019
"24",41047,"Marion County",35824625,189619,3.604,"339,641",733,95.0666666666667,17.0444444444444,158559,0,64058
"25",41049,"Morrow County",1093987,41470,3.604,"11,303",30,NA,NA,4342,1,59781
"26",41051,"Multnomah County",80557017,374621,3.604,"804,606",953,63.1666666666667,15.9550561797753,501501,0,72469
"27",41053,"Polk County",7969019,54229,3.604,"83,037",168,38.6666666666667,NA,40970,0,69757
"28",41055,"Sherman County",141417,2939,3.604,"1,642",7,NA,NA,777,1,60035
"29",41057,"Tillamook County",2559537,13812,3.604,"26,389",8,169.111111111111,NA,13645,0,52298
"30",41059,"Umatilla County",7706114,144960,3.604,"77,129",288,66.95,13.9166666666667,28988,1,58286
"31",41061,"Union County",2625496,4663,3.604,"26,337",50,NA,15.6,9488,1,54264
"32",41063,"Wallowa County",1071470,809,3.604,"7,004",9,NA,14.0666666666667,3329,1,52106
"33",41065,"Wasco County",2419198,10812,3.604,"26,130",36,NA,13.0333333333333,13157,0,56993
"34",41067,"Washington County",57930840,229567,3.604,"589,481",630,34.1153846153846,16.2666666666667,342201,0,85665
"35",41069,"Wheeler County",151537,0,3.604,"1,415",1,NA,NA,604,1,42747
"36",41071,"Yamhill County",10875400,64414,3.604,"104,831",162,60,NA,50233,1,71815
"37",53001,"Adams County",1609917,30397,3.604,"19,594",73,NA,10.4666666666667,7519,1,53535
"38",53003,"Asotin County",2648860,2077,3.604,"22,421",23,NA,12.1,6970,1,54776
"39",53005,"Benton County",19704502,209579,3.604,"197,518",626,132.066666666667,NA,83259,1,72847
"40",53007,"Chelan County",7293255,59089,3.604,"76,229",158,196,10.9324324324324,39762,1,59838
"41",53009,"Clallam County",7473149,32872,3.604,"75,392",121,148,13.8735632183908,42190,0,57571
"42",53011,"Clark County",46859751,426413,3.604,"473,252",1173,107.2,11.9666666666667,235251,0,80407
"43",53013,"Columbia County",312097,8496,3.604,"3,992",8,NA,NA,1335,1,56338
"44",53015,"Cowlitz County",10243058,111411,3.604,"106,778",472,115.409090909091,13.4333333333333,50059,1,57316
"45",53017,"Douglas County",3676348,31634,3.604,"42,023",98,NA,NA,19224,1,63086
"46",53019,"Ferry County",878141,196,3.604,"7,578",20,NA,NA,3281,1,47463
"47",53021,"Franklin County",8918835,121851,3.604,"92,009",306,NA,13.3333333333333,31488,1,63575
"48",53023,"Garfield County",229658,0,3.604,"2,230",8,NA,14.1333333333333,551,1,54555
"49",53025,"Grant County",9389125,162221,3.604,"95,502",314,NA,NA,37813,1,57152
"50",53027,"Grays Harbor County",7321239,74185,3.604,"72,779",207,132.590909090909,18.4347826086957,33754,1,59346
"51",53029,"Island County",8161852,22098,3.604,"82,866",93,130.5,11.8,42584,0,72173
"52",53031,"Jefferson County",3439689,32104,3.604,"31,285",35,142.222222222222,NA,20968,0,60556
"53",53033,"King County",199584703,1780044,3.604,"2,195,502",3036,59.2,20.141592920354,1410067,0,102338
"54",53035,"Kitsap County",26522274,191488,3.604,"265,882",400,76.8666666666667,13.3666666666667,133373,0,79268
"55",53037,"Kittitas County",4151366,66849,3.604,"45,897",226,90.448275862069,12.5666666666667,20582,1,59172
"56",53039,"Klickitat County",2130986,31972,3.604,"21,721",85,NA,NA,8747,1,60567
"57",53041,"Lewis County",7719245,895893,3.604,"78,145",437,143.5,NA,30815,1,58525
"58",53043,"Lincoln County",1062953,11526,3.604,"10,574",78,NA,NA,4289,1,60849
"59",53045,"Mason County",6325446,24513,3.604,"63,804",117,75,15.3333333333333,30187,1,63689
"60",53047,"Okanogan County",4130752,1916,3.604,"41,842",163,NA,15.6851851851852,22370,1,44777
"61",53049,"Pacific County",2251547,32671,3.604,"21,688",39,59.6363636363636,12.7666666666667,9855,0,50521
"62",53051,"Pend Oreille County",1492418,2146,3.604,"13,377",29,NA,NA,4107,1,51950
"63",53053,"Pierce County",92486771,5415665,3.604,"877,013",1852,88.6666666666667,19.8977272727273,425193,0,78779
"64",53055,"San Juan County",2174284,7497,3.604,"16,788",1,NA,NA,11846,0,69113
"65",53057,"Skagit County",13563007,71898,3.604,"125,612",175,74.6666666666667,16.7666666666667,66027,0,67551
"66",53059,"Skamania County",1216145,43177,3.604,"11,753",31,165.6,NA,3799,1,69163
"67",53061,"Snohomish County",78691267,249532,3.604,"798,808",1359,84.6666666666667,11.5444444444444,441534,0,89119
"68",53063,"Spokane County",53482419,102955,3.604,"505,505",1908,104.766666666667,14.6179775280899,237891,1,59976
"69",53065,"Stevens County",4492085,9290,3.604,"44,655",96,NA,12.9122807017544,13366,1,55000
"70",53067,"Thurston County",27798257,679977,3.604,"279,711",699,67.3666666666667,15.7666666666667,141837,0,77890
"71",53069,"Wahkiakum County",482478,3919,3.604,"4,268",25,NA,NA,1817,1,61123
"72",53071,"Walla Walla County",5709841,36717,3.604,"60,365",384,NA,11.5,28758,1,60202
"73",53073,"Whatcom County",22761657,166783,3.604,"220,821",490,113.966666666667,20.4222222222222,136867,0,68656
"74",53075,"Whitman County",5460871,21607,3.604,"49,231",81,NA,13.3563218390805,18032,0,45906
"75",53077,"Yakima County",24512616,374415,3.604,"249,697",684,50.3333333333333,16.5,107993,1,55674
